,track_name,artist_name,album_name,genre,duration_ms,popularity,explicit,track_id,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
54,Open Up the Heavens,Meredith Andrews,Worth It All,world-music,233733,46,False,618wOV2U1XbUrhJqw4PwIW,6qk2W9h3eE5UtPJlIatzsY,0.372,0.891,10,-5.637,1,0.0443,0.241,0.0,0.0822,0.428,199.76
55,Midnight Rambler,The Rolling Stones,Let It Bleed,british,412760,52,False,3tIvHt7VaIenprWXrYzgwb,22bE4uQ6baNwSHPVcDxLCe,0.403,0.658,9,-10.285,1,0.118,0.772,3.96e-06,0.166,0.512,75.488
56,Slow Down (feat. Lucky Daye),VanJess,Slow Down (feat. Lucky Daye),chill,227673,55,False,6EsOT4Yq4BavQSJ4sEe9dw,0Ek89uaJyo6NfWK22awFvI,0.681,0.576,1,-6.483,0,0.0425,0.21,3.27e-05,0.376,0.334,113.057
57,Re:Re: (Single ver.),ASIAN KUNG-FU GENERATION,Re:Re:,anime,332240,55,False,3rxLb8cYhEnv3ZEoluDdpA,0MK8l3nURwwQIjafvXoJJt,0.464,0.868,6,-5.051,0,0.0502,0.000249,0.00042,0.248,0.512,155.008
58,Levitating (feat. DaBaby),Dua Lipa,Future Nostalgia,dance,203064,85,False,5nujrmhLynf4yMoMtj8AQF,6M2wZ9GZgrQXHCFfjv46we,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977
59,Opening for Tracy Morgan,Hannibal Buress,Live from Chicago,comedy,172644,35,True,5MaxulIDdR04gv7b334CYX,4GIqbOr0FgE9qmJ31kVYdD,0.652,0.847,2,-4.8,1,0.93,0.872,0.0,0.63,0.429,92.119
60,Sleep You Little Videyoung,Henrik Janson,Musica Di Bambino,guitar,177774,48,False,6AmhUIvNyevwaoy2D73OxJ,5kIhxGyX6VtcsLk88dwYED,0.546,0.0973,9,-17.154,1,0.065,0.955,0.914,0.116,0.191,175.938
61,Hokage,Rustage,Hokage,anime,266349,49,False,03tNSODeYIc8v0UTEzVCcM,6cd3XfCAc3e596RQW8P94H,0.758,0.835,1,-4.581,1,0.311,0.355,0.0,0.113,0.806,81.816
62,Worldwide Choppers,Tech N9ne,All 6's And 7's,k-pop,326426,57,True,2Lo2BWhhlZSJds2yBhxoet,6UBA15slIuadJ8h2lPRPos,0.746,0.853,1,-4.452,1,0.13,0.00285,0.0,0.376,0.362,130.028
63,I Will Follow,Vertical Worship,The Rock Won't Move,world-music,260839,42,False,1d2LyEJ1zZ0gWtlxyZQpDE,6N6Sk9XOoHsadAGYR44C2o,0.319,0.577,4,-7.679,1,0.033,0.0499,0.0,0.729,0.189,97.678
64,End Of The Line,Traveling Wilburys,"The Traveling Wilburys, Vol. 1",blues,209520,72,False,4HA2jo7wkMdN1lmLO6ryzE,2hO4YtXUFJiUYS2uYFvHNK,0.578,0.836,2,-6.607,1,0.0512,0.163,1.36e-06,0.0583,0.932,167.026
65,Play,YUJU,[REC.],k-pop,201680,61,False,4zw0hc13H9fbzj2UpD6Rfu,7Bu0r4MCDX3sbhcFD5IXyx,0.703,0.613,4,-4.575,0,0.0324,0.0779,0.0,0.0935,0.4,98.035
66,Holy Water,Jason Aldean,GEORGIA,country,201160,4,False,60u91OgUm166VWfuStwRMo,3FfvYsEGaIb52QPXhg4DcH,0.613,0.626,2,-7.142,0,0.0283,0.5,0.0,0.0959,0.398,75.497
67,Silence of Siberia,Lowercase Noises,This Is for Our Sins,guitar,446936,39,False,21cUwlOjOehy98jgn29cTv,7trvyUUXmPhi1StCNYHj4e,0.121,0.217,4,-18.448,1,0.0366,0.873,0.937,0.124,0.0362,80.207
68,Untold,Jinsang,Life,chill,95144,52,False,7v52k3ozNqjKGlFPWDiudw,5FsfZj0Mp6YwEWytuJUcWt,0.705,0.209,2,-15.061,1,0.199,0.727,0.845,0.113,0.507,83.302
69,T-Kt,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",anime,174560,53,False,4EZytiJfGIKolH85Nc6G8Q,0Riv2KnFcLZA3JSVryRg4y,0.28,0.159,2,-12.936,0,0.0392,0.652,0.627,0.0948,0.0393,58.714
70,Get It On The Floor,DMX,Grand Champ,hardcore,262133,54,True,094MWdspdy9amhOi8TFlIN,1HwM5zlC5qNWhJtM00yXzG,0.812,0.794,1,-3.075,1,0.155,0.163,0.0,0.131,0.572,94.198
71,Paparazzi,Lady Gaga,The Fame,dance,208306,68,False,7Hqig8kp32q2Ire3ECQvWM,1HY2Jd0NmPuamShAr6KMms,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906
72,Dead Leaves and the Dirty Ground,The White Stripes,White Blood Cells,blues,182168,56,False,2ewjgFhHDTE8BkV8kzpiX2,4F84IBURUo98rz4r61KF70,0.305,0.628,9,-3.573,0,0.0348,0.46,3.66e-05,0.0899,0.428,80.389
73,Castle in the Sky (Carrying You) - Part 3,Kato,Ghibli Vibes (Piano Version),anime,49254,46,False,0ySn7jmoApODQwj7NCOFL8,3yTNaLgtCufxUYDsWa5MpA,0.516,0.0305,7,-24.201,1,0.0558,0.994,0.941,0.143,0.202,96.641
74,Jablochko,Mikhail Vavich,"Russkie narodnye pesni, Ch. 1",romance,163083,1,False,0wgC0qJgCGHdA5H8bauIK7,1RzHw0CKefYaqmqVHPMzMO,0.715,0.491,11,-5.705,0,0.133,0.993,0.0099,0.222,0.811,113.385
75,Rittaikidou,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",anime,342720,50,False,7u32XGioKOcqZYrEZphaF5,0Riv2KnFcLZA3JSVryRg4y,0.366,0.571,2,-12.063,1,0.0565,0.0104,0.89,0.0939,0.136,155.093
76,Blue Clear Sky,George Strait,Blue Clear Sky,country,174866,61,False,59MIR30ATtW8kTaX3SCpq0,5vngPClqofybhPERIqQMYd,0.638,0.819,4,-6.646,1,0.0291,0.202,4.1e-05,0.3,0.706,124.062
77,Роняет лес багряный свой убор,Sergei Lemeshev,В эту лунную ночь,romance,197786,0,False,5mqMiyQncZO1KJOKdORzA1,1RsJXxwObVjgTgT5YLQsJE,0.334,0.18,6,-14.943,0,0.0645,0.992,5.12e-06,0.147,0.112,83.135
78,Always Be My Baby - Recorded at Sound Stage Nashville,Anderson East,Spotify Singles,blues,254834,55,False,3QSnkhUvoPS5QogonimPfk,5q6z6GTth6lMbL9I8CAgby,0.623,0.596,0,-4.922,1,0.0407,0.529,0.0,0.157,0.656,80.547
79,Рвемся в бой,Yuri Morfessi,Лучшие песни первой мировой войны,romance,129880,0,False,73msgu8FUg7DHWaD2tDywG,2devkkG4mIc96VVeBx6LPS,0.508,0.415,5,-8.131,1,0.162,0.996,3.1e-06,0.32,0.621,83.198
80,Lucky Me (feat. Great Good Fine Ok),The Knocks,Lucky Me (feat. Great Good Fine Ok),disco,202125,56,False,5BNBNU5w5f5IIw0Q1Z9Acq,2x7EATekOPhFGRx3syMGEC,0.716,0.861,10,-4.407,1,0.153,0.00409,0.000222,0.157,0.358,119.915
81,"Я спросил у ясеня, где моя любимая",Sergey Nikitin,"Микаэл таривердиев, музыка из кинофильма ""ирония судьбы или с лёгким паром!""",romance,216173,33,False,6CXTlqi0YuzV3YWSKuaPGt,4rZEukCg3BJtHukmoSdWwD,0.684,0.0915,4,-22.158,0,0.0405,0.96,0.0547,0.111,0.252,102.512
82,Wind flower,MAMAMOO,BLUE;S,k-pop,236816,57,False,2qwyjoSsSr3M7HTt611Q5O,0XATRDCYuuGhk0oE7C0o5G,0.735,0.795,0,-2.918,1,0.0518,0.656,0.0,0.0665,0.825,113.988
83,Dreams,Joakim Karud,Dreams,chill,190041,54,False,7lRsXfGnY0PBSxVMIxuHME,0iAOXvEDIMaAWPP5Ur0fYF,0.746,0.61,6,-7.305,1,0.0805,0.117,0.59,0.0865,0.424,96.026
84,Ромашки спрятались,"Группа ""Загадка""",Коллекция застольной песни. Будьте здоровы,romance,225253,0,False,6tiwHVjxg1vil4DiooTvD3,1XwTCyrmfdTvkd9E0fLN9u,0.433,0.158,7,-12.135,0,0.0377,0.961,0.0,0.225,0.266,121.379
85,Life's a Bitch (feat. AZ & Olu Dara),Nas,Illmatic,hardcore,210840,60,True,2LhhnqrHPWvXYveZVHLKrd,20qISvAhX20dpIbOOzGK3q,0.775,0.734,7,-5.41,1,0.215,0.00138,0.0,0.304,0.342,90.001
86,Vimy,Little Symphony,Waterton Lakes,guitar,158911,38,False,6wEIZ1fu7MZ8R6Xv3ruQNX,4SCWiQbJCMTHK737aNUqBJ,0.199,0.449,7,-22.593,1,0.121,0.952,0.984,0.721,0.0873,95.494
87,Dumhdurum,Apink,LOOK,k-pop,208053,59,False,55kuHkT2CWhWKF6CoRDnJq,2uWcrwgWmZcQc3IPBs3tfU,0.653,0.923,8,-2.163,0,0.0621,0.145,0.0,0.137,0.692,114.902
88,Dance Me to the End of Love (Bonus),The Civil Wars,Barton Hollow,acoustic,185053,45,False,6WoJzSRQeROe5MNpf7cPDu,6J7rw7NELJUCThPbAfyLIE,0.472,0.184,9,-11.182,0,0.029,0.856,0.0,0.145,0.285,110.081
89,Rose Quartz,Toro y Moi,Anything in Return,chill,253108,53,False,0u1yF7JbPlDjqWUKZk4FaR,6O4EGCCb6DoIiR6B1QCQgp,0.753,0.482,0,-12.355,0,0.0312,0.075,0.668,0.313,0.415,109.97
90,100 Things To Remember,Tim Wilson,Gettin' My Mind Right,comedy,172906,30,False,7y8RQBGcYWETXHMXJ871YL,3rePw1J7Juz7bns9J54PIN,0.783,0.421,11,-10.227,0,0.153,0.573,0.0,0.0992,0.744,149.004
91,T.I.B.W.F.,The Budos Band,The Budos Band,afrobeat,160600,49,False,1Bx3trnFdCStyiV5PF0vkj,5q4eLKmqFVP0xII8087PHz,0.674,0.607,1,-7.76,1,0.057,0.0124,0.87,0.147,0.712,77.845
92,Rental Car,Louis C.K.,Live at the Beacon Theater,comedy,204824,31,True,79Q74zkf3m0AiNsfK7nKIT,4fQii15cX3Q0ZkjCdsIxkZ,0.561,0.66,2,-14.778,0,0.816,0.855,0.0,0.806,0.368,106.619
93,Weep With Me,Rend Collective,Good News (Deluxe Edition),world-music,291271,45,False,1jvbwSs1HvmyWUPINyW1rO,11Y54BxlxC3UIAUkU2eadQ,0.367,0.453,10,-6.347,1,0.031,0.393,0.0,0.125,0.341,138.172
94,Dangerous,Morgan Wallen,Dangerous: The Double Album,country,147893,68,False,1MX19fnaW1OUQoglWTYaOo,4oUHIQIBe0LHzYfvXNW4QM,0.635,0.772,7,-4.825,1,0.0279,0.216,0.0,0.285,0.948,119.017
95,Dumplings (Borgore Remix),Pink Guy,Pink Season: The Prophecy,comedy,162206,32,True,0bE2c4OxQGReOLbeB1g6lg,3yJnBqAoRUNeDabdYoiYWD,0.736,0.973,2,-1.747,1,0.215,0.00328,0.0121,0.319,0.0891,144.892
96,Don't Speak (Instrumental),Joseph Sullinger,Don't Speak (Instrumental),guitar,241495,43,False,1DV7nyw8OigFfEiJ3yEFj6,6mNAxWgMw0EjVXUNhHpRpM,0.526,0.228,0,-12.975,0,0.0542,0.975,0.903,0.106,0.239,143.295
97,You're Sexy I'm Sexy,Eric Nam,Before We Begin,k-pop,187200,56,False,3VrAQzhFpUX0RGRqcOATd0,2FLqlgckDKdmpBrvLAT5BM,0.812,0.721,11,-4.547,0,0.0766,0.111,0.0,0.0917,0.83,109.971
98,Unconditional,Richard Walters,Devon or Las Vegas,acoustic,260000,52,False,6Tl7NvaS7XVs8Z5BJnOmCT,3rUqgY188kWz0hKkqnpk9F,0.391,0.221,10,-11.317,1,0.0287,0.88,0.00536,0.213,0.152,62.577
99,What Ifs (feat. Lauren Alaina),Kane Brown,Kane Brown,country,188253,72,False,7zVCrzzEJU7u24sbJPXA5W,3oSJ7TBVCWMDMiYjXNiCKE,0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976
100,How Do I Thank You,Mosaic MSC,This Is How I Thank The Lord,world-music,168760,43,False,4RUeS0zY9bwOL74a38htb4,4hAridhpYF50cbO6o7jB3b,0.366,0.184,10,-12.507,1,0.0322,0.797,1.7e-05,0.217,0.198,69.176
101,Mother Nature's Son - Remastered 2009,The Beatles,The Beatles (Remastered),british,168026,52,False,6TjUg1cTUzWHbal6yQAi7c,3WrFJ7ztbogyGnTHbHJFl2,0.608,0.178,2,-17.109,1,0.0264,0.634,0.352,0.166,0.401,84.78
102,British Dudes,Chris D'Elia,White Male. Black Comic.,comedy,220098,27,True,1eoyhoDJ2FUjCQ7XlBpH0V,68zDWPD0VlACZBBnN5cETu,0.552,0.966,2,-2.588,0,0.913,0.828,0.0,0.677,0.334,93.235
103,White Tiger - Cat Carpenters Remix,Izzy Bizu,White Tiger (Cat Carpenters Remix),british,164516,52,False,4LgMGommglAuQc5FIIWVB9,6b5YOgXIliAozdo49vUCJQ,0.771,0.834,2,-4.883,0,0.0481,0.0719,0.0134,0.163,0.28,124.061
104,Want U Back,Cher Lloyd,Sticks & Stones,dance,214573,66,False,6E11E0lT5Zy7yb6iT3y8DN,4m4SfDVbF5wxrwEjDKgi4k,0.694,0.891,9,-2.94,1,0.0949,0.0562,0.0,0.561,0.563,97.939
105,Psycho,Red Velvet,‘The ReVe Festival’ Finale,k-pop,210560,76,False,3CYH422oy1cZNoo0GTG1TK,1z4g3DjTBBZKhvAroFlhOM,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987
